PERMNO,date,VOL,RET,BID,ASK
25785,2008-08-11,40981600,-0.019011,5.17000,5.18000
25785,2008-08-12,37394600,0.005814,5.20000,5.21000
25785,2008-08-13,67573900,-0.059730,4.88000,4.89000
25785,2008-08-14,38273200,0.045082,5.10000,5.11000
25785,2008-08-15,32662900,0.001961,5.09000,5.10000
25785,2008-08-18,36290900,-0.043053,4.90000,4.90000
25785,2008-08-19,39345300,-0.034765,4.73000,4.74000
25785,2008-08-20,49237900,-0.023305,4.60000,4.61000
25785,2008-08-21,60550900,-0.041215,4.40000,4.41000
25785,2008-08-22,55776100,0.011312,4.46000,4.47000
25785,2008-08-25,70232400,-0.013423,4.39000,4.40000
25785,2008-08-26,49283500,-0.013605,4.33000,4.34000
25785,2008-08-27,71814100,-0.020690,4.27000,4.28000
25785,2008-08-28,52637300,0.039906,4.39000,4.40000
25785,2008-08-29,37381100,0.006772,4.51000,4.52000
25785,2008-09-02,53444400,0.011211,4.53000,4.54000
25785,2008-09-03,83817500,0.013304,4.57000,4.58000
25785,2008-09-04,87645400,-0.039387,4.42000,4.43000
25785,2008-09-05,60086300,0.004556,4.40000,4.41000
25785,2008-09-08,72290700,0.031746,4.53000,4.54000
25785,2008-09-09,51680400,-0.032967,4.40000,4.41000
25785,2008-09-10,39336900,0.015909,4.46000,4.46000
25785,2008-09-11,85488100,0.046980,4.69000,4.70000
25785,2008-09-12,130052100,0.049145,4.89000,4.91000
25785,2008-09-15,103872200,-0.034623,4.78000,4.79000
25785,2008-09-16,99320500,0.069620,5.04000,5.05000
25785,2008-09-17,123012900,-0.025641,5.00000,5.02000
25785,2008-09-18,110424100,0.068826,5.24000,5.25000
25785,2008-09-19,91336100,0.001894,5.28000,5.29000
25785,2008-09-22,51345900,-0.064272,4.91000,4.93000
25785,2008-09-23,21401200,-0.018182,4.84000,4.86000
25785,2008-09-24,28073400,0.034979,4.90000,5.02000
25785,2008-09-25,27479200,-0.009940,5.00000,5.01000
25785,2008-09-26,37182700,-0.034137,4.94000,4.96000
25785,2008-09-29,35350600,-0.133056,4.56000,4.57000
25785,2008-09-30,43001400,0.247002,4.89000,4.90000
25785,2008-10-01,38111500,-0.125000,4.53000,4.54000
25785,2008-10-02,28669600,-0.043956,4.36000,4.38000
25785,2008-10-03,43101300,-0.068965,4.14000,4.15000
25785,2008-10-06,64837600,-0.088889,3.69000,3.71000
25785,2008-10-07,71788600,-0.208672,2.98000,2.99000
25785,2008-10-08,127978300,-0.089041,2.66000,2.69000
25785,2008-10-09,130293400,-0.218045,2.13000,2.14000
25785,2008-10-10,196968900,-0.043269,2.01000,2.01000
25785,2008-10-13,121991300,0.201005,2.48000,2.49000
25785,2008-10-14,82854600,0.025105,2.49000,2.51000
